AFR53, Afrikaans 1933/1953 (Afrikaans) 
AFR83, Afrikaans 1983 (Afrikaans) 
ALAB, Arabic Life Application Bible (Arabic) 
AVDDV, New Van Dyck Bible Reduced Vocalization with Helps (Arabic) 
ERVAR, Easy-to-Read Version (Arabic) 
NAV, Ketab El Hayat (Arabic) 
BPV, Marahay na Bareta Biblia (Central Bicolano) 
APSD, Ang Pulong Sa Dios (Cebuano) 
RCPV, Ang Bag-ong Maayong Balita Biblia (Cebuano) 
BCND,Beibl Cymraeg Newydd Diwygiedig 2004 (Welsh) 
NGUDE, Neue Genfer Übersetzung (German) 
SCH2000, Schlachter 2000 (German) 
BDK, Buuk Do Kinorohingan (Boros Dusun) 
TR1550, 1550 Stephanus New Testament (Greek) 
TR1894, 1894 Scrivener New Testament (Greek) 
AKJV, Authorized King James Version 
AMP, Amplified Bible (English) 
AMPC, Amplified Bible Classic Edition 
ASV, American Standard Version 
CEB, Common English Bible (English) 
CEV, Contemporary English Version (English) 
CEVD, Contemporary English Version 
CJB, Complete Jewish Bible (English) 
DARBY, Darby Translation (English) 
DRA, Douay-Rheims 1899 American Edition 
ERV, Easy-to-Read Version (English) 
ESV, English Standard Version (English) 
EXB, Expanded Bible (English) 
GNT, Good News Translation (English) 
GNV, 1599 Geneva Bible (English) 
GW, GOD'S WORD Translation (English) 
HCSB, Holman Christian Standard Bible (English) 
ICB, International Children’s Bible (English) 
ISV, International Standard Version (English) 
JUB, Jubilee Bible 2000 (English) 
KJ21, 21st Century King James Version (English) 
KJV, King James Version (English) 
LEB, Lexham English Bible (English) 
MEV, Modern English Version (English) 
MOUNCE, Mounce Reverse-Interlinear New Testament 
MSG, The Message (English) 
NABRE, New American Bible Revised Edition (English) 
NASB, New American Standard Bible (English) 
NCV, New Century Version (English) 
NET, New English Translation (English) 
NIRV, New International Reader's Version (English) 
NIV1984, New International Version 1984 (English) 
NIV2011, New International Version 2011 (English) 
NIVUK, New International Version - UK 
NKJV, New King James Version (English) 
NLT, New Living Translation (English) 
NLT2013, New Living Translation 2013 (English) 
NLV, New Life Version (English) 
NOG, Names of God Bible (English) 
NRSV, New Revised Standard Version (English) 
NRSVA, New Revised Standard Version Anglicised (English) 
OJB, Orthodox Jewish Bible (English) 
PHILLIPS, J.B. Phillips New Testament (English) 
RSV, Revised Standard Version (English) 
RSVCE, Revised Standard Version Catholic Edition (English) 
TLB, The Living Bible (English) 
TLV, Tree of Life Version 
VOICE, The Voice (English) 
WEB, World English Bible 
WEBBE, World English Bible British Edition 
WYC, Wycliffe Bible (English) 
YLT, Young's Literal Translation (English) 
BHTI, La Biblia Hispanoamericana Traducción Interconfesional (Spanish) 
BL92, Buku Lopatulika 1992 (Spanish) 
DHH, Biblia Dios Habla Hoy (Spanish) 
NBLH, Nueva Biblia Latinoamericana de Hoy (Spanish) 
NTV, Nueva Traducción Viviente (Spanish) 
NVI, Nueva Versión Internacional (Spanish) 
RVC, Reina Valera Contemporánea (Spanish) 
RVR1995, Reina-Valera 1995 (Spanish) 
RVR60, Biblia Reina Valera 1960 (Spanish) 
RVR95, Biblia Reina Valera 1995 (Spanish) 
TLA, Traducción en Lenguaje Actual (Spanish) 
FNVDC, Vakavakadewa Vou kei na iVola tale eso (Fijian) 
BDS, La Bible du Semeur (French) 
LSG, Bible Segond 1910 (French) 
