Start date, 2017-07-16
End date, 2017-09-23
Total requests, 12666
Total unique devices, 560
Total sessions, 2711
Average response time, 0.67ms

Language, DeviceCount, Percentage
spa, 5, 0.9%
chs, 97, 17.3%
eng, 386, 68.9%
cht, 72, 12.9%

Date, Unique devices, Sessions, Requests
2017-07-16, 9, 75, 223
2017-07-17, 8, 24, 89
2017-07-18, 3, 15, 23
2017-07-19, 6, 13, 33
2017-07-20, 6, 8, 44
2017-07-21, 13, 49, 193
2017-07-22, 8, 44, 157
2017-07-23, 8, 12, 44
2017-07-24, 2, 2, 4
2017-07-25, 9, 35, 211
2017-07-26, 9, 51, 176
2017-07-27, 8, 13, 70
2017-07-28, 6, 7, 32
2017-07-29, 10, 16, 78
2017-07-30, 7, 7, 25
2017-07-31, 4, 4, 15
2017-08-01, 5, 69, 194
2017-08-02, 8, 11, 58
2017-08-03, 2, 3, 25
2017-08-04, 6, 8, 32
2017-08-05, 4, 5, 32
2017-08-06, 5, 5, 21
2017-08-07, 5, 5, 22
2017-08-08, 8, 9, 41
2017-08-09, 5, 7, 32
2017-08-10, 3, 4, 34
2017-08-11, 4, 5, 22
2017-08-12, 5, 7, 34
2017-08-13, 5, 6, 39
2017-08-14, 4, 37, 107
2017-08-15, 4, 6, 26
2017-08-16, 9, 60, 166
2017-08-17, 2, 10, 36
2017-08-18, 4, 5, 30
2017-08-19, 17, 23, 143
2017-08-20, 14, 17, 73
2017-08-21, 17, 35, 134
2017-08-22, 11, 12, 71
2017-08-23, 9, 11, 59
2017-08-24, 15, 20, 95
2017-08-25, 7, 7, 35
2017-08-26, 10, 34, 112
2017-08-27, 9, 66, 178
2017-08-28, 15, 17, 75
2017-08-29, 18, 44, 135
2017-08-30, 18, 23, 97
2017-08-31, 33, 54, 182
2017-09-01, 18, 22, 82
2017-09-02, 8, 11, 49
2017-09-03, 17, 19, 79
2017-09-04, 14, 16, 69
2017-09-05, 7, 11, 57
2017-09-06, 18, 21, 88
2017-09-07, 12, 12, 44
2017-09-08, 9, 9, 44
2017-09-09, 30, 33, 170
2017-09-10, 19, 20, 94
2017-09-11, 148, 186, 926
2017-09-12, 102, 129, 603
2017-09-13, 81, 99, 505
2017-09-14, 63, 78, 396
2017-09-15, 83, 100, 548
2017-09-16, 79, 172, 628
2017-09-17, 79, 103, 571
2017-09-18, 147, 212, 1094
2017-09-19, 80, 124, 557
2017-09-20, 82, 93, 498
2017-09-21, 88, 105, 624
2017-09-22, 69, 90, 541
2017-09-23, 74, 125, 642

DeviceId, Language, LastSeen, DaysSinceLastVisit
3367D942-1055-464B-A00E-A5CF6D0B23EF, spa, 2017-09-23 21:29:25, 0
12c8cd6d-9040-4670-93fd-c977ab294805, chs, 2017-09-23 22:19:32, 0
8f2cb808-fa2b-4dad-8eea-01b302e9ee17, spa, 2017-07-17 20:17:26, 68
7d557ac8-4a4b-4c6e-b3b8-d3c11b5d592b, chs, 2017-07-21 01:43:04, 65
4D5A48B3-51E6-406E-AF77-300D592D97F3, eng, 2017-09-22 21:19:35, 1
bd2bac86-2d3c-4bd1-ace5-c59946d85597, spa, 2017-07-16 13:07:17, 69
1189E2E8-BCD3-4BF4-AF55-7CCC0A79541F, cht, 2017-09-23 08:06:56, 1
7AB80C6E-1B90-4A22-8227-7F710F518F81, chs, 2017-07-25 22:09:06, 60
bccfe4cc-68c3-4164-aaa7-ea5e3fa698af, eng, 2017-09-23 15:41:11, 0
76EEFA2B-0137-47F7-B1FF-43AC54A26DFF, cht, 2017-09-20 22:52:44, 3
A7FFC9C4-207B-43C3-B98A-5E579FB96DD4, eng, 2017-09-18 20:09:16, 5
